,leg,start_number,start_time,url,entry_number,driver,codriver,car
0,1,1,31. 5. 08:25,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239681/,1,Ogier Sébastien,Ingrassia Julien,Citroën C3 WRC
1,1,2,31. 5. 08:28,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239685/,8,Tänak Ott,Järveoja Martin,Toyota Yaris WRC
2,1,3,31. 5. 08:31,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239687/,11,Neuville Thierry,Gilsoul Nicolas,Hyundai i20 Coupe WRC
3,1,4,31. 5. 08:34,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239684/,5,Meeke Kris,Marshall Sebastian,Toyota Yaris WRC
4,1,5,31. 5. 08:37,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239689/,33,Evans Elfyn,Martin Scott,Ford Fiesta WRC
5,1,6,31. 5. 08:40,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280559/,19,Loeb Sébastien,Elena Daniel,Hyundai i20 Coupe WRC
6,1,7,31. 5. 08:43,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239683/,4,Lappi Esapekka,Ferm Janne,Citroën C3 WRC
7,1,8,31. 5. 08:46,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239686/,10,Latvala Jari-Matti,Anttila Miikka,Toyota Yaris WRC
8,1,9,31. 5. 08:49,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239682/,3,Suninen Teemu,Salminen Marko,Ford Fiesta WRC
9,1,10,31. 5. 08:52,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239692/,6,Sordo Dani,del Barrio Carlos,Hyundai i20 Coupe WRC
10,1,11,31. 5. 08:55,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281537/,44,Greensmith Gus,Edmondson Elliott,Ford Fiesta WRC
11,1,12,31. 5. 08:57,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280784/,21,Østberg Mads,Eriksen Torstein,Citroën C3 R5
12,1,13,31. 5. 08:59,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274189/,22,Pieniążek Łukasz,Gerber Jakub,Ford Fiesta R5
13,1,14,31. 5. 09:01,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280782/,23,Rovanperä Kalle,Halttunen Jonne,Škoda Fabia Rally2 evo
14,1,15,31. 5. 09:03,/entryinfo/54466-vodafone-rally-de-portugal-2019/2260714/,24,Kopecký Jan,Dresler Pavel,Škoda Fabia Rally2 evo
15,1,16,31. 5. 09:05,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280798/,41,Guerra jr. Benito,Zapata Ortega Jaime,Škoda Fabia R5
16,1,17,31. 5. 09:07,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274077/,42,Katsuta Takamoto,Barritt Daniel,Ford Fiesta R5
17,1,18,31. 5. 09:09,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280796/,43,Veiby Ole Christian,Andersson Jonas,Volkswagen Polo GTI R5
18,1,19,31. 5. 09:11,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280786/,45,Gryazin Nikolay,Fedorov Yaroslav,Škoda Fabia R5
19,1,20,31. 5. 09:13,/entryinfo/54466-vodafone-rally-de-portugal-2019/2270368/,46,Heller Alberto,Díaz José Luis,Ford Fiesta R5
20,1,21,31. 5. 09:15,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280799/,64,Yates Rhys,Morgan James,Škoda Fabia R5
21,1,22,31. 5. 09:17,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281194/,47,Bergkvist Emil,Barth Patrik,Ford Fiesta R5
22,1,23,31. 5. 09:19,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281195/,48,de Mevius Guillaume,Wydaeghe Martijn,Citroën C3 R5
23,1,24,31. 5. 09:21,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281197/,49,Solberg Henning,Minor Ilka,Škoda Fabia R5
