,leg,finish,entry_number,time
0,1,1,4,1:59:53.7
1,1,2,1,2:00:11.4
2,1,3,11,2:00:12.1
3,1,4,3,2:00:38.1
4,1,5,89,2:00:57.8
5,1,6,6,2:01:18.9
6,1,7,5,2:01:25.8
7,1,8,8,2:01:31.1
8,1,9,10,2:01:36.2
9,1,10,7,2:03:39.1
10,1,11,41,2:08:16.1
11,1,12,23,2:08:37.1
12,1,13,22,2:09:59.9
13,1,14,44,2:11:20.1
14,1,15,42,2:12:48.6
15,1,16,47,2:20:52.8
16,1,17,43,2:22:34.4
17,1,18,48,2:25:01.8
18,1,19,45,2:28:33.4
19,1,20,53,2:31:14.4
20,1,21,49,2:31:32.3
21,1,22,51,2:31:59.8
22,1,23,72,2:34:12.2
23,1,24,21,2:38:51.8
24,1,25,46,2:46:33.4
25,1,26,74,2:53:31.4
26,2,1,1,1:20:00.6
27,2,2,4,1:20:18.5
28,2,3,89,1:20:31.3
29,2,4,3,1:21:00.8
30,2,5,6,1:21:17.8
31,2,6,10,1:21:50.2
32,2,7,5,1:22:15.7
33,2,8,7,1:23:28.7
34,2,9,21,1:23:44.5
35,2,10,22,1:24:02.2
36,2,11,11,1:24:38.1
37,2,12,41,1:24:48.4
38,2,13,44,1:24:51.1
39,2,14,43,1:26:11.9
40,2,15,23,1:26:25.7
41,2,16,51,1:28:59.8
42,2,17,42,1:29:41.3
43,2,18,48,1:31:37.8
44,2,19,45,1:32:48.2
45,2,20,53,1:37:37.4
46,2,21,72,1:39:40.3
47,2,22,47,1:54:40.2
48,2,23,8,1:55:21.4
49,2,24,74,1:56:51.7
50,2,25,46,2:06:24.9
51,3,1,10,29:44.8
52,3,2,89,29:47.5
53,3,3,1,30:00.1
54,3,4,6,30:01.3
55,3,5,3,30:08.3
56,3,6,5,30:23.9
57,3,7,7,30:27.2
58,3,8,4,30:34.6
59,3,9,21,30:44.9
60,3,10,11,30:56.7
61,3,11,23,30:57.4
62,3,12,22,31:28.7
63,3,13,44,31:29.1
64,3,14,43,31:45.1
65,3,15,8,32:29.8
66,3,16,42,32:44.3
67,3,17,45,32:55.9
68,3,18,41,32:55.9
69,3,19,48,32:57.9
70,3,20,47,33:47.5
71,3,21,53,34:11.7
72,3,22,72,34:56.9
73,3,23,46,35:24.5
74,3,24,74,38:19.8
