season,round,leg,leg_finish,entry_number,leg_time
2018,1,1,1,1,2289.0
2018,1,1,2,4,2307.0
2018,1,1,3,6,2315.0
2018,1,1,4,9,2327.0
2018,1,1,5,8,2332.0
2018,1,1,6,7,2345.0
2018,1,1,7,11,2352.0
2018,1,1,8,3,2400.0
2018,1,1,9,10,2422.0
2018,1,1,10,31,2452.0
2018,1,1,11,32,2471.0
2018,1,1,12,76,2485.0
2018,1,1,13,71,2487.0
2018,1,1,14,33,2490.0
2018,1,1,15,73,2498.0
2018,1,1,16,2,2542.0
2018,1,1,17,5,2548.0
2018,1,1,18,75,2553.0
2018,1,1,19,72,2557.0
2018,1,1,20,35,2633.0
2018,1,1,21,36,2681.0
2018,1,1,22,18,2770.0
2018,1,1,23,92,2786.0
2018,1,1,24,63,2796.0
2018,1,1,25,62,2850.0
2018,1,1,26,87,2856.0
2018,1,1,27,95,2873.0
2018,1,1,28,34,2891.0
2018,1,1,29,78,2921.0
2018,1,1,30,104,2924.0
2018,1,1,31,100,2924.0
2018,1,1,32,82,2942.0
2018,1,1,33,97,2945.0
2018,1,1,34,84,2981.0
2018,1,1,35,112,2987.0
2018,1,1,36,111,3014.0
2018,1,1,37,61,3033.0
2018,1,1,38,85,3115.0
2018,1,1,39,99,3130.0
2018,1,1,40,91,3134.0
2018,1,1,41,74,3145.0
2018,1,1,42,64,3189.0
2018,1,1,43,93,3201.0
2018,1,1,44,23,3206.0
2018,1,1,45,79,3244.0
2018,1,1,46,114,3261.0
2018,1,1,47,83,3324.0
2018,1,1,48,89,3325.0
2018,1,1,49,105,3342.0
2018,1,1,50,119,3346.0
2018,1,1,51,108,3346.0
2018,1,1,52,107,3370.0
2018,1,1,53,88,3391.0
2018,1,1,54,81,3443.0
2018,1,1,55,103,3511.0
2018,1,1,56,106,3626.0
2018,1,1,57,25,3631.0
2018,1,1,58,117,3640.0
2018,1,1,59,101,3654.0
2018,1,1,60,116,3689.0
2018,1,1,61,113,3866.0
2018,1,1,62,96,3900.0
2018,1,1,63,118,3904.0
2018,1,1,64,109,3988.0
2018,1,1,65,115,4134.0
2018,1,1,66,86,6688.0
2018,1,1,67,94,6901.0
2018,1,2,1,8,5318.0
2018,1,2,2,5,5331.0
2018,1,2,3,2,5334.0
2018,1,2,4,1,5345.0
2018,1,2,5,7,5360.0
2018,1,2,6,9,5378.0
2018,1,2,7,10,5378.0
2018,1,2,8,6,5379.0
2018,1,2,9,3,5449.0
2018,1,2,10,11,5589.0
2018,1,2,11,32,5656.0
2018,1,2,12,71,5726.0
2018,1,2,13,34,5775.0
2018,1,2,14,73,5885.0
2018,1,2,15,72,5983.0
2018,1,2,16,35,6002.0
2018,1,2,17,74,6106.0
2018,1,2,18,36,6201.0
2018,1,2,19,63,6224.0
2018,1,2,20,92,6263.0
2018,1,2,21,95,6330.0
2018,1,2,22,97,6335.0
2018,1,2,23,62,6421.0
2018,1,2,24,104,6421.0
2018,1,2,25,23,6442.0
2018,1,2,26,112,6454.0
2018,1,2,27,18,6504.0
2018,1,2,28,84,6543.0
2018,1,2,29,25,6551.0
2018,1,2,30,101,6622.0
2018,1,2,31,61,6631.0
2018,1,2,32,113,6752.0
2018,1,2,33,108,6775.0
2018,1,2,34,91,6811.0
2018,1,2,35,31,6938.0
2018,1,2,36,79,6965.0
2018,1,2,37,99,7023.0
2018,1,2,38,105,7043.0
2018,1,2,39,82,7073.0
2018,1,2,40,85,7087.0
2018,1,2,41,86,7087.0
2018,1,2,42,103,7170.0
