season,round,event_name,event_url,location,conditions,tyre,group,entry_number,driver,codriver,final_finish,car,final_time
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,1,Mäkinen Tommi,Mannisenmäki Risto,1,Mitsubishi Lancer Evo VI,15815.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,6,Sainz Carlos,Moya Luis,2,Ford Focus WRC '00,15900.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/pirelli_red.png,A8,4,Kankkunen Juha,Repo Juha,3,Subaru Impreza S5 WRC '99,16017.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/pirelli_red.png,A8,8,Gardemeister Toni,Lukander Paavo,4,Seat Cordoba WRC Evo2,16040.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,18,Thiry Bruno,Prévot Stéphane,5,Toyota Corolla WRC,16104.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,2,Loix Freddy,Smeets Sven,6,Mitsubishi Carisma GT Evo VI,16239.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,11,Schwarz Armin,Hiemer Manfred,7,Škoda Octavia WRC,16404.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,20,Burri Olivier,Hofmann Christophe,8,Toyota Corolla WRC,16457.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/pirelli_red.png,N4,21,Stohl Manfred,Müller Peter,9,Mitsubishi Lancer Evo VI,17057.0
2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,Monte Carlo,asphalt-snow,https://www.ewrc-results.com/images/tyres/michelin_red.png,A8,12,Climent Asensio Luis,Romaní Álex,10,Škoda Octavia WRC,17065.0
