,season,round,name,url,conditions
0,2000,1,68. Rallye Automobile Monte-Carlo 2000,/final/108-rallye-automobile-monte-carlo-2000/,"['asphalt', 'snow', 'cancelled']"
1,2000,2,49. International Swedish Rally 2000,/final/109-international-swedish-rally-2000/,"['snow', 'ice', 'cancelled']"
2,2000,3,48. Sameer Safari Rally Kenya 2000,/final/110-sameer-safari-rally-kenya-2000/,['gravel']
3,2000,4,34. TAP Rallye de Portugal 2000,/final/111-tap-rallye-de-portugal-2000/,['gravel']
4,2000,5,36. Rallye Catalunya - Costa Brava - Rallye de España 2000,/final/112-rallye-catalunya-costa-brava-rallye-de-espana-2000/,['asphalt']
5,2000,6,20. Rally Argentina 2000,/final/113-rally-argentina-2000/,"['gravel', 'cancelled']"
6,2000,7,47. Acropolis Rally 2000,/final/114-acropolis-rally-2000/,['gravel']
7,2000,8,31. Propecia Rally New Zealand 2000,/final/115-propecia-rally-new-zealand-2000/,['gravel']
8,2000,9,50. Neste Rally Finland 2000,/final/116-neste-rally-finland-2000/,['gravel']
9,2000,10,28. Cyprus Rally 2000,/final/117-cyprus-rally-2000/,['gravel']
10,2000,11,44. V-Rally Tour de Corse - Rallye de France 2000,/final/118-v-rally-tour-de-corse-rallye-de-france-2000/,"['asphalt', 'cancelled']"
11,2000,12,42. Rallye Sanremo - Rallye d'Italia 2000,/final/119-rallye-sanremo-rallye-ditalia-2000/,"['asphalt', 'cancelled']"
12,2000,13,13. Telstra Rally Australia 2000,/final/120-telstra-rally-australia-2000/,['gravel']
13,2000,14,56. Network Q Rally of Great Britain 2000,/final/121-network-q-rally-of-great-britain-2000/,['gravel']
14,2001,1,69. Rallye Automobile Monte-Carlo 2001,/final/94-rallye-automobile-monte-carlo-2001/,"['asphalt', 'snow', 'cancelled']"
15,2001,2,50. International Swedish Rally 2001,/final/95-international-swedish-rally-2001/,"['snow', 'ice']"
16,2001,3,35. TAP Rallye de Portugal 2001,/final/96-tap-rallye-de-portugal-2001/,"['gravel', 'cancelled']"
